"rgb","r","g","b","colorname","RGB"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"160 - 0 - 80","160","0","80","fushia","[160, 0, 80]"
"160 - 0 - 80","160","0","80","purple","[160, 0, 80]"
"200 - 160 - 180","200","160","180","purple","[200, 160, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"110 - 100 - 10","110","100","10","pickle","[110, 100, 10]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"50 - 80 - 100","50","80","100","indigo","[50, 80, 100]"
"250 - 240 - 0","250","240","0","yallow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"160 - 180 - 20","160","180","20","yellow","[160, 180, 20]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"150 - 200 - 180","150","200","180","bluish","[150, 200, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"190 - 220 - 210","190","220","210","silver","[190, 220, 210]"
"160 - 0 - 80","160","0","80","maroon","[160, 0, 80]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 100 - 70","200","100","70","carrot","[200, 100, 70]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"200 - 100 - 70","200","100","70","salmon","[200, 100, 70]"
"220 - 240 - 150","220","240","150","celery","[220, 240, 150]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"170 - 160 - 40","170","160","40","yellow","[170, 160, 40]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 100 - 70","200","100","70","orange","[200, 100, 70]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 170 - 170","200","170","170","purple","[200, 170, 170]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"160 - 0 - 80","160","0","80","maroon","[160, 0, 80]"
"160 - 0 - 80","160","0","80","violet","[160, 0, 80]"
"200 - 100 - 70","200","100","70","redish","[200, 100, 70]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"160 - 0 - 80","160","0","80","purple","[160, 0, 80]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"50 - 80 - 100","50","80","100","petrol","[50, 80, 100]"
"200 - 100 - 70","200","100","70","salmon","[200, 100, 70]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 160 - 180","200","160","180","purple","[200, 160, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 100 - 70","200","100","70","orange","[200, 100, 70]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 160 - 180","200","160","180","violet","[200, 160, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 160 - 180","200","160","180","violet","[200, 160, 180]"
"130 - 30 - 180","130","30","180","violet","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","banana","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 170 - 170","200","170","170","purple","[200, 170, 170]"
"200 - 100 - 70","200","100","70","orange","[200, 100, 70]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","violet","[130, 30, 180]"
"200 - 160 - 180","200","160","180","violet","[200, 160, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 170 - 170","200","170","170","purple","[200, 170, 170]"
"130 - 30 - 180","130","30","180","indigo","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"120 - 80 - 40","120","80","40","browny","[120, 80, 40]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"160 - 180 - 20","160","180","20","yellow","[160, 180, 20]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 100 - 70","200","100","70","orange","[200, 100, 70]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"160 - 0 - 80","160","0","80","maroon","[160, 0, 80]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"160 - 0 - 80","160","0","80","maroon","[160, 0, 80]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"220 - 240 - 150","220","240","150","yellow","[220, 240, 150]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"200 - 100 - 70","200","100","70","maroon","[200, 100, 70]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","indigo","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"160 - 0 - 80","160","0","80","purple","[160, 0, 80]"
"160 - 0 - 80","160","0","80","maroon","[160, 0, 80]"
"160 - 0 - 80","160","0","80","purple","[160, 0, 80]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 160 - 180","200","160","180","purple","[200, 160, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"220 - 240 - 150","220","240","150","yellow","[220, 240, 150]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 100 - 70","200","100","70","orange","[200, 100, 70]"
"160 - 180 - 20","160","180","20","yellow","[160, 180, 20]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"160 - 0 - 80","160","0","80","purple","[160, 0, 80]"
"200 - 100 - 70","200","100","70","russet","[200, 100, 70]"
"200 - 160 - 180","200","160","180","purple","[200, 160, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 100 - 70","200","100","70","salmon","[200, 100, 70]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 160 - 180","200","160","180","purple","[200, 160, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 100 - 70","200","100","70","salmon","[200, 100, 70]"
"10 - 90 - 210","10","90","210","cobalt","[10, 90, 210]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 160 - 180","200","160","180","orchid","[200, 160, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"160 - 0 - 80","160","0","80","maroon","[160, 0, 80]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 100 - 70","200","100","70","salmon","[200, 100, 70]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"160 - 180 - 20","160","180","20","celery","[160, 180, 20]"
"160 - 0 - 80","160","0","80","purple","[160, 0, 80]"
"200 - 160 - 180","200","160","180","orchid","[200, 160, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"160 - 0 - 80","160","0","80","marroo","[160, 0, 80]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"220 - 240 - 150","220","240","150","yellow","[220, 240, 150]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 170 - 170","200","170","170","salmon","[200, 170, 170]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"160 - 0 - 80","160","0","80","purple","[160, 0, 80]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"160 - 0 - 80","160","0","80","cerise","[160, 0, 80]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"160 - 0 - 80","160","0","80","violet","[160, 0, 80]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"70 - 100 - 90","70","100","90","forest","[70, 100, 90]"
"200 - 100 - 70","200","100","70","salmon","[200, 100, 70]"
"160 - 0 - 80","160","0","80","fuscia","[160, 0, 80]"
"200 - 160 - 180","200","160","180","salmon","[200, 160, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"110 - 100 - 10","110","100","10","eewwww","[110, 100, 10]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 100 - 70","200","100","70","orange","[200, 100, 70]"
"160 - 0 - 80","160","0","80","maroon","[160, 0, 80]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 160 - 180","200","160","180","purple","[200, 160, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 170 - 170","200","170","170","salmon","[200, 170, 170]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"170 - 160 - 40","170","160","40","yellow","[170, 160, 40]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"110 - 100 - 10","110","100","10","khaiki","[110, 100, 10]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 100 - 70","200","100","70","salmon","[200, 100, 70]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","violet","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 160 - 180","200","160","180","violet","[200, 160, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 100 - 70","200","100","70","orange","[200, 100, 70]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 170 - 170","200","170","170","purple","[200, 170, 170]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"220 - 20 - 0","220","20","0","tomato","[220, 20, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 170 - 170","200","170","170","salmon","[200, 170, 170]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"200 - 100 - 70","200","100","70","orange","[200, 100, 70]"
"160 - 0 - 80","160","0","80","purple","[160, 0, 80]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"200 - 160 - 180","200","160","180","lialac","[200, 160, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"200 - 170 - 170","200","170","170","plague","[200, 170, 170]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"200 - 160 - 180","200","160","180","purple","[200, 160, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"250 - 120 - 30","250","120","30","orange","[250, 120, 30]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"250 - 240 - 0","250","240","0","yellow","[250, 240, 0]"
"200 - 100 - 70","200","100","70","sienna","[200, 100, 70]"
"130 - 30 - 180","130","30","180","purple","[130, 30, 180]"
"110 - 100 - 10","110","100","10","khaki","[110, 100, 10]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"160 - 180 - 20","160","180","20","green","[160, 180, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"110 - 100 - 10","110","100","10","brown","[110, 100, 10]"
"220 - 240 - 150","220","240","150","vomit","[220, 240, 150]"
"160 - 180 - 20","160","180","20","green","[160, 180, 20]"
"100 - 60 - 20","100","60","20","khaki","[100, 60, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"200 - 100 - 70","200","100","70","coral","[200, 100, 70]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"200 - 170 - 170","200","170","170","weird","[200, 170, 170]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"220 - 240 - 150","220","240","150","white","[220, 240, 150]"
"220 - 240 - 150","220","240","150","straw","[220, 240, 150]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"160 - 180 - 20","160","180","20","green","[160, 180, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"110 - 100 - 10","110","100","10","olive","[110, 100, 10]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"170 - 160 - 40","170","160","40","green","[170, 160, 40]"
"200 - 160 - 180","200","160","180","muave","[200, 160, 180]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"110 - 100 - 10","110","100","10","olive","[110, 100, 10]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"200 - 160 - 180","200","160","180","lilac","[200, 160, 180]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"200 - 160 - 180","200","160","180","mauve","[200, 160, 180]"
"170 - 160 - 40","170","160","40","ochre","[170, 160, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"110 - 100 - 10","110","100","10","khaki","[110, 100, 10]"
"200 - 160 - 180","200","160","180","lilac","[200, 160, 180]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"160 - 180 - 20","160","180","20","brown","[160, 180, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"220 - 240 - 150","220","240","150","beige","[220, 240, 150]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"160 - 180 - 20","160","180","20","green","[160, 180, 20]"
"110 - 100 - 10","110","100","10","brown","[110, 100, 10]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"200 - 100 - 70","200","100","70","adobe","[200, 100, 70]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"160 - 0 - 80","160","0","80","mauve","[160, 0, 80]"
"200 - 100 - 70","200","100","70","umber","[200, 100, 70]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"170 - 160 - 40","170","160","40","brown","[170, 160, 40]"
"110 - 100 - 10","110","100","10","brown","[110, 100, 10]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"150 - 200 - 180","150","200","180","flint","[150, 200, 180]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"70 - 100 - 90","70","100","90","green","[70, 100, 90]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"170 - 160 - 40","170","160","40","olive","[170, 160, 40]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"220 - 240 - 150","220","240","150","green","[220, 240, 150]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"220 - 240 - 150","220","240","150","beige","[220, 240, 150]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"170 - 160 - 40","170","160","40","olive","[170, 160, 40]"
"170 - 160 - 40","170","160","40","olive","[170, 160, 40]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"120 - 80 - 40","120","80","40","brown","[120, 80, 40]"
"150 - 200 - 180","150","200","180","green","[150, 200, 180]"
"200 - 100 - 70","200","100","70","brown","[200, 100, 70]"
"170 - 160 - 40","170","160","40","khaki","[170, 160, 40]"
"200 - 160 - 180","200","160","180","mauve","[200, 160, 180]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
"100 - 60 - 20","100","60","20","brown","[100, 60, 20]"
